Time (s),Reference (N),Estimate (N),uc (N),Extended estimate (N),Extended uc (N)
3.666,136.8910911584005,137.6560968478575,0.8974010690840917,137.6405230519663,0.9422298988374682
3.667,134.34180168315828,134.72599237416725,0.8974010690840917,134.70484615053786,0.9444904510037853
3.668,130.19917983084252,131.99412076747095,0.8974010690840917,131.8280217644495,0.968677755674285
3.669,124.55405638579036,125.25508339532064,0.8974010690840917,125.09224244037952,1.0170720841757743
3.67,117.5842805478818,118.83311071697676,0.8974010690840917,118.64379297553073,1.0485204232809464
3.671,109.55397557291894,111.98257285668434,0.8974010690840917,111.68883922175704,1.1232807411062218
3.672,100.8023493326264,102.22864733356016,0.8974010690840917,102.21050348111359,1.1340438040373269
3.673,98.35489754830238,100.62917604799424,0.8974010690840917,100.57837657936051,1.0881604407680643
3.674,96.45810354168448,97.64609627701968,0.8974010690840917,97.64861271326959,1.067404617890776
3.675,95.0434766999739,95.35268365797364,0.8974010690840917,95.41436918958713,1.0299250190165967
3.676,94.027449351292,94.02978687898177,0.8974010690840917,94.11869624473364,1.0104411547346652
3.677,93.35106862229948,92.98094912208524,0.8974010690840917,93.09001917464207,0.992712001176287
3.678,92.96248584518396,91.77074898151632,0.8974010690840917,92.01019439428356,0.9847257288278206
3.679,92.82943607708452,93.94112102209218,0.8974010690840917,94.12250712798524,0.9749313749783929
3.68,92.9381406318626,94.34484836588167,0.8974010690840917,94.48598782100089,0.9715771775819058
3.681,93.29065126795358,93.81704937192865,0.8974010690840917,93.96784401278775,0.9714029057554779
3.682,93.89998748116754,93.12438971721662,0.8974010690840917,93.39574480468353,0.970996743953325
3.683,94.78796118451048,95.3114600494944,0.8974010690840917,95.55869113601484,0.9662421967414682
3.684,95.97918962607824,96.52418831248676,0.8974010690840917,96.75260014673226,0.9545677992663467
3.685,97.48937076142911,97.19516987778124,0.8974010690840917,97.51620513545977,0.9531703510653569
3.686,99.33075894292746,100.48195737205668,0.8974010690840917,100.760710599845,0.9417092387060498
3.687,101.48197550533006,102.28688161580268,0.8974010690840917,102.53247996003273,0.9314747395383622
3.688,103.92151134099016,103.27232326805132,0.8974010690840917,103.58951962222582,0.9372174698090056
3.689,106.6372286152178,105.81004310339412,0.8974010690840917,106.18351573005707,0.9573600059673814
3.69,109.61999815155455,109.90197586104892,0.8974010690840917,110.25026657469046,0.9748746863038495
3.691,112.85397814665806,113.47479852852923,0.8974010690840917,113.76863357364502,0.969164194722985
3.692,116.32662518159984,115.95249183791049,0.8974010690840917,116.30715909732926,0.9685997133384002
3.693,120.02721770762147,119.91287361573148,0.8974010690840917,120.26151035475522,0.9751833355367698
3.694,123.9283399515537,123.858012726788,0.8974010690840917,124.17222061724426,0.9686487761778881
3.695,127.97615246179674,126.76717548876324,0.8974010690840917,127.13514878660631,0.9683528912023679
3.696,132.09227047797248,131.1807209966114,0.8974010690840917,131.56841440346918,0.9861591846397725
3.697,138.18319134703256,136.32611970309412,0.8974010690840917,136.74826364927983,1.0091924521695137
3.698,144.0513607288985,142.5225036981171,0.8974010690840917,142.90860058101782,1.0263019522370964
3.699,149.56553559018303,147.7834917253906,0.8974010690840917,148.19448935783257,1.0428807961702837
3.7,154.62061607923175,153.7072826231627,0.8974010690840917,154.0576502637422,1.057933370168431
3.701,159.13866018340312,158.17111615636594,0.8974010690840917,158.4772655317356,1.061577589081225
3.702,163.06281136136585,161.30457343128785,0.8974010690840917,161.63333861906756,1.0735217893955002
3.703,166.35726668170727,165.56416961717738,0.8974010690840917,165.84008559072993,1.0885941761779907
3.704,169.0103693643456,168.72509810533623,0.8974010690840917,168.92507423631727,1.0607970715174049
3.705,171.05080893311504,170.30315677936886,0.8974010690840917,170.5060745156193,1.029278588670278
3.706,172.5298077276638,172.43982597729996,0.8974010690840917,172.6028987845962,0.9964724881989905
3.707,173.51703118064952,173.9493767381072,0.8974010690840917,174.0269401670313,0.9580012057547259
3.708,174.09131425099343,173.87917559211965,0.8974010690840917,174.00608979378705,0.9370364525423764
3.709,174.3171589508502,175.55608409715472,0.8974010690840917,175.56437833741512,0.944971790383901
3.71,174.16532769129893,173.4656083605881,0.8974010690840917,173.54335079378126,0.9542270082130945
3.711,173.5693439297632,173.3266605921624,0.8974010690840917,173.3621220514008,0.9706313039254153
3.712,172.45224462646237,171.88224858596342,0.8974010690840917,171.9276768840001,0.9896168752281745
3.713,170.73513666959622,170.64995661485293,0.8974010690840917,170.65212657249404,0.9911532953617878
3.714,168.36779624519085,168.80069273923834,0.8974010690840917,168.74687894912256,1.0174789806133884
3.715,165.28694168539917,165.51946478321798,0.8974010690840917,165.49087416866806,1.0331815230200099
3.716,161.44180089634017,162.97287981437503,0.8974010690840917,162.78510529953977,1.0551535273015993
3.717,156.822391712998,156.17169138637786,0.8974010690840917,156.04840739674387,1.0465579571661001
3.718,151.46727000158037,151.39249570135183,0.8974010690840917,151.17057145956719,1.031529900902626
3.719,145.46785629006197,143.76024972312115,0.8974010690840917,143.59938802737375,1.0104417491252804
3.72,138.9805596337298,138.2427573978431,0.8974010690840917,138.11980206273984,0.973103559790542
3.721,134.88357485591874,134.281414979078,0.8974010690840917,134.20081640949715,0.9722155502116733
3.722,131.16992387580885,131.63592268955833,0.8974010690840917,131.52905787879007,0.9839013726485967
3.723,127.96494689712318,128.18053722414237,0.8974010690840917,128.07961195364484,0.9899130636821506
3.724,125.306328416428,124.90204524417749,0.8974010690840917,124.83858802570538,0.976536826589122
3.725,123.16871210013944,122.14183615940918,0.8974010690840917,122.14409060199539,0.9486929164030228
3.726,121.4645573786788,120.90246900007416,0.8974010690840917,120.91955916445883,0.9329815592622008
3.727,120.07562338688476,120.02725684477277,0.8974010690840917,120.0027346029035,0.9367506918024411
3.728,118.86340704616796,117.434730111014,0.8974010690840917,117.49961382443611,0.9468690078297228
3.729,117.68456868130276,116.8741757896208,0.8974010690840917,116.90834021922649,0.9404747823106677
3.73,116.45919307281056,115.6619977478482,0.8974010690840917,115.67617645435217,0.9340077839911932
3.731,115.14252131028344,114.22505818494513,0.8974010690840917,114.25767025437302,0.9317807543477635
3.732,113.6942195680368,113.39529801578593,0.8974010690840917,113.40421107946635,0.9362506667717971
3.733,112.06746059250378,112.00340571248265,0.8974010690840917,112.00765483143654,0.94567438589948
3.734,110.2051802319775,110.79050394883188,0.8974010690840917,110.7558552042934,0.9512135269300352
3.735,108.0383183663194,108.445703283165,0.8974010690840917,108.38625666129086,0.9639145697253232
3.736,105.50764057891766,105.45656877520778,0.8974010690840917,105.38734693552244,0.968976311709591
3.737,102.5511812457668,101.6149366540743,0.8974010690840917,101.57888640806749,0.9604876900840885
3.738,99.0923608837577,98.18397848664569,0.8974010690840917,98.17400345320186,0.9464350730146239
3.739,95.07305026598712,95.5436417340562,0.8974010690840917,95.44197849029135,0.9595368964074231
3.74,90.47500280417889,89.8404053354724,0.8974010690840917,89.80602556231311,0.9734991329070887
3.741,85.32592667915635,85.84340248992015,0.8974010690840917,85.77075493047333,0.9706793416734265
3.742,79.73298894271025,81.07556719758757,0.8974010690840917,80.9249670747972,0.9817039398278624
3.743,73.95840896974775,74.90053899026522,0.8974010690840917,74.7722576361195,1.009725164911452
3.744,68.34514505985814,69.55771813108946,0.8974010690840917,69.36100996333593,1.071429213130444
3.745,62.709147647018455,62.59685776380411,0.8974010690840917,62.48344142356661,1.1483094013215862
3.746,57.51841740278096,57.56571373207236,0.8974010690840917,57.48383167405351,1.2219587193490176
3.747,52.8703461333551,53.2647181474082,0.8974010690840917,53.22439809279367,1.314148451805535
3.748,48.853893510563736,49.83415780759841,0.8974010690840917,49.75048984497722,1.346719471290179
3.749,45.49349568763638,45.04348191632005,0.8974010690840917,45.077034440590715,1.343571310285112
3.75,42.78650328175296,42.741884453838615,0.8974010690840917,42.81148496840128,1.3076732117907222
3.751,40.74017238481905,40.495650618081406,0.8974010690840917,40.67257586385722,1.2947721348023904
3.752,39.39210525125563,40.66397706965629,0.8974010690840917,40.8159300153417,1.2879307867462306
3.753,38.81216799079184,39.823632231881874,0.8974010690840917,40.03615140293604,1.3023140332991276
3.754,39.10264479161495,40.287827330339184,0.8974010690840917,40.49262587031213,1.3442027610207363
3.755,40.41060628934822,40.2391209275945,0.8974010690840917,40.55699183372257,1.3935390028793146
3.756,42.90393969023455,42.26529910945344,0.8974010690840917,42.67983608266055,1.4335721523322853
3.757,46.73983836485901,46.20679672295277,0.8974010690840917,46.64852746810593,1.4257323191278306
3.758,52.03187959438878,50.30582713892026,0.8974010690840917,50.95645282033304,1.3796500866353218
3.759,58.8171542744218,59.52445964148893,0.8974010690840917,60.10224027208771,1.2609220523078173
3.76,67.06317423743667,65.65356755634572,0.8974010690840917,66.42402643103966,1.1856152796368886
3.761,76.69748696851178,76.33516037309244,0.8974010690840917,77.09233486377727,1.1444068717133256
3.762,87.59019499628421,85.86064754780845,0.8974010690840917,86.78265958457605,1.1682732966092284
3.763,99.57393707830587,99.94032759333965,0.8974010690840917,100.78714554111201,1.2092005029270436
3.764,112.44853782420688,111.86154966742448,0.8974010690840917,112.73238614003908,1.2038226357314161
3.765,125.94543234961266,124.1539744907614,0.8974010690840917,125.10918165040115,1.277718800090505
3.766,139.75338381239084,139.11604006146212,0.8974010690840917,140.0660724945098,1.362376663569158
3.767,153.49331112321337,154.19127253550786,0.8974010690840917,155.05930108515903,1.3700677705735451
3.768,166.70953868856014,167.31705180818585,0.8974010690840917,168.07440170220025,1.3468309527912372
3.769,178.25568135858148,177.393394254407,0.8974010690840917,178.20865447565876,1.3914991687719345
3.77,188.51266594326583,189.232651775889,0.8974010690840917,189.86396833420852,1.4282512003501637
3.771,197.4348827754302,196.51168499951555,0.8974010690840917,197.11035243626284,1.4592290225461888
3.772,205.0010483086449,202.918845270262,0.8974010690840917,203.53424047035946,1.5907382952602547
3.773,211.18279380596408,209.99679305014507,0.8974010690840917,210.5224807239049,1.7209566120958018
3.774,215.96644392232395,215.44981887921665,0.8974010690840917,215.8864861656305,1.84008516985511
3.775,219.3465420272244,218.8492458681425,0.8974010690840917,219.15704433672906,1.9295559956821322
3.776,221.31354740743225,220.0571076738083,0.8974010690840917,220.34622767289517,2.0263365791193992
3.777,221.84405274289284,221.4369772182781,0.8974010690840917,221.58843918160974,2.1138449678110662
3.778,220.9127411475912,220.26293779023453,0.8974010690840917,220.3142027512931,1.9828594556379464
3.779,218.5895992166234,217.816256079373,0.8974010690840917,217.78170897025913,1.834093199670795
3.78,214.9417739328361,214.5427765609472,0.8974010690840917,214.39137514246826,1.6958106091372496
3.781,210.00703946924145,209.1513513430736,0.8974010690840917,208.9802721124381,1.535045012563474
