Seed,Method,Alarm fraction (%),False positive rate (%),False-safe rate (%),Indeterminate (%),Matched edge absolute displacement (ms),Unmatched reference edges (%),Decision disagreement (%)
23,True force,30.8464306002651,0.0,0.0,0.0,0.0,0.0,0.0
23,Reconstructed force,30.941109638326076,0.4654983570646221,0.7366482504604052,0.0,0.08527131782945659,0.0,0.5491384207536452
23,Uncertainty-aware force,29.59666729786025,0.0,0.0,2.7835637189926152,0.34920634920635835,2.3255813953488413,
24,True force,31.357697405794354,0.0,0.0,0.0,0.0,0.0,0.0
24,Reconstructed force,31.319825790569965,0.3586206896551724,0.9057971014492754,0.0,0.08888888888889225,1.4598540145985384,0.5302026131414505
24,Uncertainty-aware force,29.748153758757812,0.0,0.06038647342995169,3.5031244082560122,0.4031007751938264,5.839416058394164,
25,True force,31.338761598182163,0.0,0.0,0.0,0.0,0.0,0.0
25,Reconstructed force,31.300889982957774,0.3861003861003861,0.9667673716012084,0.0,0.21641791044776387,0.7407407407407418,0.5680742283658398
25,Uncertainty-aware force,29.823896989206588,0.0,0.0,3.1433440636243133,0.4210526315789511,1.4814814814814836,
26,True force,32.11512971028214,0.0,0.0,0.0,0.0,0.0,0.0
26,Reconstructed force,32.05832228744556,0.2789400278940028,0.7665094339622641,0.0,0.11450381679388474,0.0,0.4355235750804771
26,Uncertainty-aware force,30.600265101306572,0.0,0.0,2.7835637189926152,0.29770992366411814,0.0,
27,True force,31.300889982957774,0.0,0.0,0.0,0.0,0.0,0.0
27,Reconstructed force,31.338761598182163,0.4410143329658214,0.8469449485783425,0.0,0.24615384615385238,1.5151515151515138,0.5680742283658398
27,Uncertainty-aware force,30.1268699110017,0.027563395810363836,0.0,2.840371141829199,0.3700787401574832,3.7878787878787845,
28,True force,31.5659912895285,0.0,0.0,0.0,0.0,0.0,0.0
28,Reconstructed force,31.603862904752887,0.5534034311012728,1.0797840431913617,0.0,0.138686131386859,0.0,0.719560689263397
28,Uncertainty-aware force,29.899640219655367,0.05534034311012728,0.05998800239952009,3.4463169854194278,0.5692307692307756,5.109489051094895,
29,True force,31.300889982957774,0.0,0.0,0.0,0.0,0.0,0.0
29,Reconstructed force,31.584927097140692,0.5788313120176406,0.3629764065335753,0.0,0.09160305343510865,0.7575757575757569,0.5112668055292559
29,Uncertainty-aware force,29.61560310547245,0.0,0.0,3.238023101685287,0.3565891472868151,2.2727272727272707,
30,True force,31.793220980874835,0.0,0.0,0.0,0.0,0.0,0.0
30,Reconstructed force,31.77428517326264,0.5274847307051638,1.1911852293031566,0.0,0.12781954887217306,0.0,0.7384964968755917
30,Uncertainty-aware force,30.013255065328536,0.0,0.0,3.238023101685287,0.7984496124031023,3.007518796992481,
