Force RMSE (N),Force MAE (N),Force bias (N),Filtered Fc std (N),ATR (%),Integral u2,Position-state RMSE (um),Velocity-state RMSE (m/s),Modal displacement RMSE,Modal velocity RMSE,State events,Check triggers,Max state norm,Max V,Minimum inter-event time (ms),Maximum OFF interval (ms),Finite trajectory,Case,Feedback state,Event state,Seed
0.9239512224712741,0.738875608088659,0.02065776805287202,36.53786754935993,73.73354795947353,2518.0828515289195,16.27970962911698,0.004162410719925094,0.0027390788109132214,0.1381159000750091,280,11,0.2330384258953819,17.653775185097988,16.499999999999737,51.60549154637284,True,C: true/observer,true,observer,2
0.9038301451823637,0.7231782952406228,0.00359717874295939,36.651723069901216,73.15595114099044,2263.6589008518354,16.449307665211492,0.004113671439077896,0.0027266785024797585,0.13691344952714965,288,10,0.2057226323009788,15.41161743360939,16.499999999999737,51.596071524411755,True,C: true/observer,true,observer,3
0.9048776521737077,0.7242218827755269,0.010906262305287287,36.922875566479085,74.17858157371461,2343.4538110070866,16.501031339565714,0.00418240329818342,0.002724205035054262,0.13781762763175534,287,9,0.24055138016839786,16.32997049008521,16.499999999999737,51.68549162508285,True,C: true/observer,true,observer,4
0.9190429363506657,0.7312614949297096,-0.01786221642398203,36.56172552360311,71.1864406779661,2485.8352414130595,16.32203514742859,0.004179525846394032,0.002784764606325006,0.13995196199057489,275,13,0.2527471964228391,14.970725605028504,16.499999999999737,51.5960715244117,True,C: true/observer,true,observer,5
0.9174847147787945,0.7298262752667396,-0.0021894886913121398,36.58437080833141,67.55042136161349,2047.6471826332688,16.379832620904928,0.0042051339439148,0.002942868198533837,0.14880847673136996,260,14,0.249553563841745,18.885762978887218,16.499999999999737,51.55198326754462,True,C: true/observer,true,observer,6
0.9288135357121137,0.7425467786646528,-0.0169871466981628,36.901424286285426,67.50307736009847,2302.512594722095,16.471206179912727,0.00425268580445747,0.002891984877520003,0.1451105824819116,265,12,0.2248538138757076,21.737415550538863,16.499999999999737,50.89984119436419,True,C: true/observer,true,observer,7
0.9164783325617148,0.7305773968684258,0.007086044746682495,36.745696992151366,74.1217687718966,2087.40792695055,16.26069960839972,0.004127227458568716,0.002735145400328033,0.138197745795103,285,8,0.22034707529948597,14.51895183372922,16.499999999999737,50.958483735721096,True,C: true/observer,true,observer,8
0.9289163512781656,0.7405725977979387,-0.007012669184370224,36.74535446863712,72.85294953129439,2485.1457788340417,16.329754514122115,0.004166168180099437,0.002690683633081481,0.13642820144126852,279,14,0.2802948584851794,16.379721123199154,16.499999999999737,51.57487647499928,True,C: true/observer,true,observer,9
0.920525592017247,0.7365470916036914,0.0015067414222968809,36.69179816462493,71.55572388978317,2323.6841813167684,16.503826131230387,0.004218926425273787,0.002808751932208824,0.14179378747823965,280,9,0.22098553600532192,19.036262892906493,16.499999999999737,51.67181236059682,True,C: true/observer,true,observer,10
0.9273657369396242,0.7414727985093484,0.006853764015505492,36.61506768696983,75.52315121674084,2396.8129872069126,16.045111294825322,0.004185068814954736,0.0028391887493275213,0.14117692404193383,295,12,0.2159276205338957,16.097061955352768,16.499999999999737,51.57605750919325,True,D: observer/observer,observer,observer,1
0.9242572944011591,0.7393331300872086,0.020003272680835096,36.88581143599485,70.39106145251397,2217.8869561507026,16.270587831560764,0.004165883173529579,0.0029905021604990077,0.14872961053681502,280,11,0.20006695782703704,16.71685079030458,16.499999999999737,51.69575107344748,True,D: observer/observer,observer,observer,2
0.910316683201308,0.7287656025415667,0.0033918093270190732,36.518896330868415,73.59151595492851,2566.875050147892,16.451709675851582,0.0041299808204518845,0.0028976803476000925,0.14618101510878453,287,9,0.2511222116688423,17.743095060907482,16.499999999999737,51.60549154637284,True,D: observer/observer,observer,observer,3
0.9069574604303584,0.7248157426126673,0.013834182147341719,36.88124536101689,76.59312565098003,2402.4982033595397,16.48978439371258,0.004188963004291971,0.0028169373905164914,0.1414791651099109,290,8,0.23088244207959527,15.109081219287972,16.499999999999737,51.53506238789696,True,D: observer/observer,observer,observer,4
0.9212079762545823,0.734718076892662,-0.017615567262134434,36.45172882044897,76.95294006249408,2488.9176081870705,16.29822923873112,0.004188865511944951,0.0027866171225757793,0.13887375331666552,305,8,0.2153113019980303,14.941532177690956,16.499999999999737,50.88742143328795,True,D: observer/observer,observer,observer,5
0.9209670362440148,0.731686914946112,0.0019366351792124235,36.57643264948189,70.34371745099895,2236.2834596075395,16.368245318623554,0.004216068247136846,0.0029157132303820605,0.14629748493560213,274,12,0.23072281883808335,14.816029688278974,16.499999999999737,50.98899891898245,True,D: observer/observer,observer,observer,6
0.9239853247959512,0.7381189687152536,-0.017134473303055262,36.901602078056946,73.43054634977749,2727.9671174387595,16.476614595673983,0.00423759925222177,0.002921959511137449,0.14635022096340036,295,10,0.22622798689077978,18.418087507480756,16.499999999999737,51.52714374539269,True,D: observer/observer,observer,observer,7
0.9218679977197864,0.7349726841263704,0.006008631496555237,37.02096636411785,75.3621816115898,2589.439923240275,16.271268801654813,0.004138555230556703,0.002889494063907637,0.14545493836539422,288,10,0.20740259716412765,16.264910277162308,16.499999999999737,50.92256826795705,True,D: observer/observer,observer,observer,8
0.9306701813659464,0.7423340016872463,-0.006747980748561639,36.64916275560269,75.2864312091658,2722.358889626302,16.30388651970932,0.00416914387852592,0.002810771242148362,0.14158694335900524,304,6,0.20947597675147736,14.868194144822695,16.499999999999737,51.59275168017352,True,D: observer/observer,observer,observer,9
0.9194229912830615,0.7348623422880325,0.001033230223141629,36.463738437388365,75.3621816115898,2387.2042204334984,16.496424147808185,0.004216416824890503,0.0028678954430959532,0.14382364745590814,296,7,0.28657772076119076,15.909061348176976,16.499999999999737,51.592911276004294,True,D: observer/observer,observer,observer,10
