Seed,Source,RMS standard contribution (N)
18,acceleration noise,0.6
18,mass tolerance,0.7171952002469157
18,stiffness tolerance,0.001800961401694753
18,damping tolerance,0.09873750666560842
18,acceleration scale,0.17929880006172894
18,acceleration bias,0.12000000000000001
18,displacement biases,0.0011313708498984758
18,actuator bias,0.20000000000000004
18,output synchronization,0.4293080286551701
19,state,0.6673295129044351
19,acceleration noise,0.6
19,mass tolerance,0.6967380906632065
19,stiffness tolerance,0.0018053422097314665
19,damping tolerance,0.09780310042778315
19,acceleration scale,0.17418452266580162
19,acceleration bias,0.12000000000000001
19,displacement biases,0.0011313708498984758
19,actuator bias,0.20000000000000004
19,output synchronization,0.4277596789457113
20,state,0.6673295129044351
20,acceleration noise,0.6
20,mass tolerance,0.7186506713799506
20,stiffness tolerance,0.0018021124759354313
20,damping tolerance,0.0990327847833056
20,acceleration scale,0.17966266784498766
20,acceleration bias,0.12000000000000001
20,displacement biases,0.0011313708498984758
20,actuator bias,0.20000000000000004
20,output synchronization,0.4316941375622254
21,state,0.6673295129044351
21,acceleration noise,0.6
21,mass tolerance,0.7197152038342077
21,stiffness tolerance,0.0018069964930898055
21,damping tolerance,0.099494769578558
21,acceleration scale,0.17992880095855193
21,acceleration bias,0.12000000000000001
21,displacement biases,0.0011313708498984758
21,actuator bias,0.20000000000000004
21,output synchronization,0.4271894351161531
22,state,0.6673295129044351
22,acceleration noise,0.6
22,mass tolerance,0.7331323084710468
22,stiffness tolerance,0.0017990782492432798
22,damping tolerance,0.10033887166122862
22,acceleration scale,0.1832830771177617
22,acceleration bias,0.12000000000000001
22,displacement biases,0.0011313708498984758
22,actuator bias,0.20000000000000004
22,output synchronization,0.4351674669185936
23,state,0.6673295129044351
23,acceleration noise,0.6
23,mass tolerance,0.7124086022934826
23,stiffness tolerance,0.0017800704536043942
23,damping tolerance,0.09825771102125348
23,acceleration scale,0.17810215057337064
23,acceleration bias,0.12000000000000001
23,displacement biases,0.0011313708498984758
23,actuator bias,0.20000000000000004
23,output synchronization,0.429558234385871
24,state,0.6673295129044351
24,acceleration noise,0.6
24,mass tolerance,0.6967802645224731
24,stiffness tolerance,0.0017548798150413914
24,damping tolerance,0.09699993078312873
24,acceleration scale,0.17419506613061828
24,acceleration bias,0.12000000000000001
24,displacement biases,0.0011313708498984758
24,actuator bias,0.20000000000000004
24,output synchronization,0.42997786488376455
25,state,0.6673295129044351
25,acceleration noise,0.6
25,mass tolerance,0.7070783121625526
25,stiffness tolerance,0.001814916855094858
25,damping tolerance,0.09804206218385875
25,acceleration scale,0.17676957804063814
25,acceleration bias,0.12000000000000001
25,displacement biases,0.0011313708498984758
25,actuator bias,0.20000000000000004
25,output synchronization,0.4254283025083149
26,state,0.6673295129044351
26,acceleration noise,0.6
26,mass tolerance,0.7157805133468371
26,stiffness tolerance,0.001777964803573122
26,damping tolerance,0.09868800896495582
26,acceleration scale,0.17894512833670928
26,acceleration bias,0.12000000000000001
26,displacement biases,0.0011313708498984758
26,actuator bias,0.20000000000000004
26,output synchronization,0.4328614870430257
27,state,0.6673295129044351
27,acceleration noise,0.6
27,mass tolerance,0.7120478276708463
27,stiffness tolerance,0.001781943196749265
27,damping tolerance,0.09908500423421183
27,acceleration scale,0.17801195691771157
27,acceleration bias,0.12000000000000001
27,displacement biases,0.0011313708498984758
27,actuator bias,0.20000000000000004
27,output synchronization,0.43196792375550747
28,state,0.6673295129044351
28,acceleration noise,0.6
28,mass tolerance,0.70542224409726
28,stiffness tolerance,0.0018083918947999831
28,damping tolerance,0.0982955928417279
28,acceleration scale,0.176355561024315
28,acceleration bias,0.12000000000000001
28,displacement biases,0.0011313708498984758
28,actuator bias,0.20000000000000004
28,output synchronization,0.4286814975326681
29,state,0.6673295129044351
29,acceleration noise,0.6
29,mass tolerance,0.7034720970649148
29,stiffness tolerance,0.001787373940174778
29,damping tolerance,0.09818617340776382
29,acceleration scale,0.1758680242662287
29,acceleration bias,0.12000000000000001
29,displacement biases,0.0011313708498984758
29,actuator bias,0.20000000000000004
29,output synchronization,0.4284279447179155
30,state,0.6673295129044351
30,acceleration noise,0.6
30,mass tolerance,0.7226599864869342
30,stiffness tolerance,0.0017779973310024801
30,damping tolerance,0.09989474182022631
30,acceleration scale,0.18066499662173355
30,acceleration bias,0.12000000000000001
30,displacement biases,0.0011313708498984758
30,actuator bias,0.20000000000000004
