Force RMSE (N),Force MAE (N),Force bias (N),Filtered Fc std (N),ATR (%),Integral u2,Position-state RMSE (um),Velocity-state RMSE (m/s),Modal displacement RMSE,Modal velocity RMSE,State events,Check triggers,Max state norm,Max V,Minimum inter-event time (ms),Maximum OFF interval (ms),Finite trajectory,beta,Seed
0.905079119935229,0.7244489985095448,0.005573057097567997,36.56247840795047,73.14648234068744,2122.744015818487,16.43306174579991,0.004120847481011225,0.0029380790247853796,0.14728157045669718,286,10,0.22535986715401862,33.80451735253611,16.499999999999737,51.60549154637284,True,0.2,3
0.9099119002625693,0.7273192857776251,0.01577098382606843,36.22423453825578,75.64624562067986,2279.032489753732,16.491810015520795,0.0042046118193544615,0.002852793929630497,0.14284566853692685,296,7,0.24234106594166652,30.038336346641078,16.99999999999946,51.63375161225581,True,0.2,4
0.9246810817662602,0.7371355525743188,-0.016758764608135565,37.17742281927811,73.19382634220244,1893.7325204438903,16.293246591190837,0.004205442308130956,0.002841455507987719,0.14141448169009618,290,8,0.2250783912428767,27.33719100102257,16.500000000000014,50.86364611083572,True,0.2,5
0.9235777044736967,0.733243511025344,0.0034242371716576283,36.79502859817322,70.66565666130101,2034.632271511825,16.357735880416474,0.004228189046610175,0.0030327251473406835,0.1523808828559524,276,6,0.2508200999584176,32.684315452294825,16.499999999999737,51.67523217671821,True,0.2,6
0.9297851139222086,0.7432086679288954,-0.015396420860129701,36.92647016185068,70.72246946311903,2114.618360652528,16.46802419586399,0.004253618250736308,0.00290986617988283,0.14572894012320994,283,8,0.25960044691465095,28.261863535772175,16.499999999999737,50.95033385590453,True,0.2,7
0.9257828603234296,0.7389211388775486,0.007767779799568648,36.967324962983746,70.42893665372597,1987.7354087576114,16.272355922598006,0.0041517733961408025,0.002828677517992021,0.1420702769292996,278,9,0.23683152160290089,29.6281652925377,16.499999999999737,50.91968380334411,True,0.2,8
0.9375509031280895,0.7483809154778354,-0.00746079694105881,36.77956933135494,71.59359909099517,2044.8882877233343,16.303024368993945,0.00420227608835076,0.0028806959012840014,0.14488703586395793,280,12,0.2631583239213453,31.96550532282347,16.50000000000018,51.59275168017352,True,0.2,9
0.9254276343797609,0.7396604023930994,0.0027852744285189776,36.770145034134785,74.64255278856169,1880.6786490818479,16.49089117027825,0.004238905755878013,0.002879940598079113,0.14453926968207276,298,6,0.2710898046203853,29.001132712644576,16.499999999999957,50.992989402433686,True,0.2,10
0.9351678939322007,0.7479975235860504,0.00793540161515891,36.97771194777436,67.01069974434239,1911.458564417566,16.05359661840384,0.004222687749885433,0.0030321218308926898,0.1517533480084044,264,13,0.2685319322774344,72.51383018350046,16.499999999999737,51.576057509193475,True,0.3,1
0.9307767672704412,0.7443095228646807,0.017586912240368572,36.654389152804754,71.05387747372409,1981.7723922135758,16.273969884796493,0.00419827124589918,0.002850911089973258,0.1435677409574298,277,10,0.2524303932983033,81.34769505567874,16.50000000000018,51.588078143120164,True,0.3,2
0.9105559410550538,0.7292944165021291,0.004811633517703866,36.755991895284275,72.24694631190228,2044.2324239186842,16.444135167857237,0.004145371422346503,0.002850534202393628,0.14309806112099396,277,8,0.2460216194156577,64.18761180680185,16.499999999999737,51.579477325315096,True,0.3,3
0.9136154660360174,0.7304737329437151,0.015166939597063786,36.087961214055966,70.27743584887794,1786.048658762205,16.478049843496564,0.0042216627313317245,0.003015995777683939,0.15118285868146747,275,10,0.2714897424547974,91.31005022413906,16.500000000000625,50.93410612641236,True,0.3,4
0.9292186753850329,0.7409394013286352,-0.017873691615770647,36.504249643094454,66.89707414070637,1509.6481444706767,16.304433474458506,0.004226331035513227,0.0029276502354568957,0.14658258299853938,260,12,0.24304400716418942,53.769724967857,16.499999999999957,50.930890597054024,True,0.3,5
0.924243220814138,0.7339700444093815,0.002362688184984869,36.43511062954777,65.9407253101032,1561.9629694912355,16.352561971750927,0.004241237145692391,0.0030310427115805495,0.15338994309381848,261,13,0.25975614289715665,81.44915282593432,16.99999999999946,51.58289714143649,True,0.3,6
0.9325879662983011,0.7455427206366501,-0.01618355640470475,36.56894160009587,67.88182937221853,1684.309094561783,16.4520796575369,0.004270444616899459,0.0029305445340401955,0.14703896819863863,271,10,0.25367574554063804,61.00022594513765,16.499999999999986,51.5583914365676,True,0.3,7
0.9314238424018454,0.7440786427485699,0.008507203903288364,37.09691607661199,70.97812707130007,1899.6653487281883,16.263770537679182,0.0041814117699188694,0.002971085245558023,0.14953131743050482,277,11,0.24341159730805914,73.02323817324127,16.499999999999737,50.94952023866828,True,0.3,8
0.9392631119762201,0.7491743888890111,-0.0072555870434576316,36.56416896552887,71.55572388978317,2137.491326186787,16.32009856572896,0.00420896447720196,0.0028701051669926697,0.14446938475354604,284,8,0.2791750282859017,60.79442135114929,16.99999999999946,50.97429000653522,True,0.3,9
0.9245640744065664,0.7399044345594243,0.0026465750950560307,37.081446556243094,72.17119590947827,1583.119657088641,16.47536992239398,0.004238911071011962,0.002995238705659029,0.15040715507701616,279,10,0.2328453243079985,71.2593549744099,16.499999999999737,51.57947732531465,True,0.3,10
0.938826055218747,0.7509109949653159,0.008560455510570815,36.97344082391748,65.9407253101032,2000.3580094295826,16.070035372007165,0.004229366464066435,0.0029869880216054374,0.14901024247730757,257,14,0.28342220336780105,199.77975088474759,16.499999999999957,50.999199282971915,True,0.5,1
0.9393596695471164,0.7512102133559334,0.015632605295601877,37.010666519459576,66.66982293343433,2014.5955687537771,16.28281328344607,0.004237758491985242,0.0029870580502891694,0.15019924509845692,247,16,0.28203870733379616,198.93549359313886,16.499999999999957,51.66201167813966,True,0.5,2
0.9195090485314612,0.736881563210281,0.005963730529450409,36.78560891536734,62.57930120253764,1746.6578486147885,16.433601924595337,0.004184838808657315,0.0028892891646995545,0.14496456814179734,238,18,0.2849572831534276,201.68391074372732,16.99999999999946,51.583245010235146,True,0.5,3
0.917113953919124,0.7337947129347674,0.011119254339314199,36.67803750148603,66.30053972161727,2140.449937383726,16.491408870359283,0.004248483706295688,0.002843573996647525,0.14215781841227967,259,10,0.28155544017522727,171.61344848556243,16.50000000000018,51.66672168912001,True,0.5,4
0.9371499671942632,0.7469243224662331,-0.018697796393782468,37.11228350912788,67.58829656282549,2126.64145054985,16.317607219310133,0.00425891248546168,0.0028693733016756837,0.14430481626302752,257,12,0.2753566983496874,155.12853293575077,16.99999999999946,50.98677952189568,True,0.5,5
0.9267302219155922,0.7371299187885446,-0.002556124266610025,37.00942758750498,66.31947732222328,1857.2873238976424,16.365605348655013,0.004253245056489629,0.0029059115905453402,0.14618151565432078,259,13,0.28460700795031385,166.87847806455918,16.499999999999737,51.57723148048943,True,0.5,6
0.9351815753988262,0.7477891074382539,-0.017597814858735728,37.022340020099634,65.90285010889122,1991.383513519534,16.458925597745,0.004281750319994234,0.002920735515682626,0.14644717368453886,251,15,0.27059860352482523,224.39539342355218,16.499999999999737,51.54577338700683,True,0.5,7
0.9345772207991604,0.7458450266919803,0.008370865588503529,37.44739503458881,68.8192406022157,1975.0779586712829,16.26833082386296,0.004200536429350642,0.0029126949508981766,0.14727114370439745,262,11,0.279764215660511,198.53746280848483,16.499999999999737,51.664972728353575,True,0.5,8
0.9452427805692358,0.753645145289548,-0.011181647481729217,36.86200347533948,66.9917621437364,2060.24745655962,16.319572347687988,0.004243354223408081,0.002889333956472176,0.14589287519090502,258,12,0.2864803026242371,179.70490899281327,16.499999999999957,51.643171634217055,True,0.5,9
